id,rotulo_atual
877362ca453c6994eb320acb312d8cc052fbe59b,Saudável
d7864c4bb9b421db9ec3d9d5929ae916362c7e6a,Empoçamento estagnado
87f7fea747efe91eaa17e130e05626a0da72320c,Saudável
cf6b5687d5190157d90b848e8d07b0fff531a536,Saudável
24c0a16fed4b9ea41e7c8688c11b8e309b43823a,Saudável
f5354dbcd2f4945750873fce2ceda705abf693b0,Empoçamento crescente
b4d6aecb7cd69c0ddd772dbc13c3eaccd95f3c60,Empoçamento estagnado
1f13f63a04a82c3bc8957378bd39625892f37f40,Saudável
46c235e61e90502e6504b6194d48b403a0b26c12,Empoçamento estagnado
ffd870ac55346977a03b6be11448be118a9080a3,Empoçamento crescente
2b8084d221c9fed742fbc92768d98be61646c27f,Empoçamento estagnado
c74ff787061b0155ddbe1897cdd983592b67a880,Empoçamento estagnado
18700baad6b88eb208760ae347d946d1f1e6eefb,Saudável
100c1d874299686b2c6c4a479537786226deaba7,Saudável
b5b9f6fc88f485a5a7e37037f2755e5915f17843,Saudável
f15f65bcc073586c2bb65fe0237ecf5fd5bba72a,Saudável
4573e575df9219fc288c213492312ddd40e149af,Saudável
ead9b915013bbbae3e813cbee07a48226caf0908,Empoçamento estagnado
6c21f0c14657568c0dba83c096b6a1147e3eb9f5,Saudável
95be0fb52433b863339f887d8214fb728d418db4,Saudável
5cc52554b4eee04f6edec28a5d259cd91f13d5c0,Saudável
8c97445ab2295da4ee66eda901e7c57c4fa86f86,Empoçamento crescente
1a3d13fab6bb1c480e862b97c0b0943934f50709,Empoçamento estagnado
3fa91ef010e72609f8b467291e1355872bdd5a64,Rever dados
5b32d65f29304123e52687e27a1404fc645e6a42,Empoçamento estagnado
cb96f287aec428610828776001775b3b9d9ed439,Empoçamento estagnado
674ddd9cecb7eefc61bef6a573b7d108d3414b43,Empoçamento estagnado
80049b5ecace80a097660a650b64a0a36da9fb29,Empoçamento estagnado
801108c1092c086e385d089a6d487ba63d148658,Empoçamento estagnado
5784c7684682ac7f0f41cc667d5dba36758c5266,Saudável
ed59b3bdebca22c72ef2b3b5c8f1697f92c89357,Rever dados
b510a4018e1bb4d9e324e6b8a040267c433c2ae1,Saudável
9c90c94cd1794becba4126f731e3501e8b65fdd7,Saudável
58d588a449718a89a67802209ef43a184ce502fb,Saudável
4226c9fccf91669c211eb385d6675dfb02fbf083,Saudável
985cbd5459c22ed4d89ba5b19d30e2f04da4bc99,Rever dados
305d6d2372010843993a6ac160b32fce8cdd1291,Rever dados
eb03b61c0e343911817f3009355676ca142a9884,Empoçamento estagnado
a6625f8bcac8e9c45fdba92685ada31951a3eb84,Saudável
ddd51e30509e5f230883999567db5727bbf1ed09,Rever dados
8e04ce6a4bc6653ca2d3ca72d769760c46a23895,Empoçamento estagnado
b2a2788884d063d5a6a26cc72018164d44debbc7,Rever dados
ba5cee3f1bbb3afe62521a0a90b5fa540d1cfb21,Saudável
0f68a23d422354856d742b85e9e45b02b4e98ad4,Saudável
6ec78bf9b811cf7dd2c9f21166eaf1ad701e3573,Empoçamento crescente
cb2c5275950db5b7df3a185d459f26659c2b5c3e,Saudável
22d0b6746ef78769dac8a038c8d23fff4b42c34f,Saudável
36bb5c357c5bf4e940a0ef7e4a179430208807dd,Empoçamento estagnado
73a9ae78a5c4f83af71ec916efa536ffe3277a12,Saudável
9c9036f846890bac31133b3d60bd8e8f6765264a,Saudável
363f2eea333470c06204004cb9287a7d0c152fcd,Empoçamento crescente
9fdbfb750717fc455a9b279a14a5083a80a619f8,Empoçamento crescente
d62be79a91ffd3ab6aded0a58ab1200ee7c6dcea,Saudável
2bd34d429620913e304a8c98776ce3e20879bae8,Empoçamento estagnado
c0e237cdf5a92ddcf728d1570905f4fea6dbaaa8,Empoçamento estagnado
b9a39644156818f9990bdd9a4e000aa12c15e2fa,Empoçamento estagnado
014e9aed53094452e583a169103962297f613ef2,Rever dados
d7a01795cddf65d9fadbdb9967d79f2fe27e50a3,Empoçamento crescente
6033830eda5e5599e426938c04a1dc9d5ec2d0b0,Empoçamento estagnado
e72fa32095f09c4271e5c189d17d4cadaf434b60,Empoçamento estagnado
ffa64f4d99a073a2b9b4d6f94161300d2e711959,Saudável
28a4464e7598cf2a08de3431272fde4fa09034eb,Saudável
43a70ebc68baaca73b0e3d487fa0483dee7fec44,Rever dados
ef3a07af515aef49fa638dafa816a04e6288bddb,Empoçamento estagnado
a34b1df57e5b6a8c7cfd0dd92c1e176f23f5fe13,Saudável
0b823b993e460273f395c7a6f37891abeabd467d,Empoçamento estagnado
c009be93ad3584da92f33bdc0286a4dfdfc69de7,Empoçamento decrescente
7cbf8d5a3fd36f2fb11a69b8e7c722a9251ec75d,Empoçamento estagnado
7615c984df7f0e0f256434c2419d260c5915b516,Saudável
c51e27aef02697bc981b43a3c56aa4b784169040,Saudável
5ccd2c9c34b2b130422cb08832fb2c48396c80b9,Saudável
de68595b9e864240357b8bb58a55525b56c8ec17,Empoçamento crescente
88165783ad0fd77bac03d78c5eb785721443c377,Empoçamento estagnado
cb95574be4994064aaf0508f5e6b4bf3414a9f63,Saudável
a577e21df539898b30dff18b3ef587e16bacdaae,Saudável
12c52b2c950e6097ba8b0e3313fc9d52bc60b98e,Saudável
5410a1d60e586baf95e610c1e8a7440f7a47a294,Empoçamento estagnado
1534f61d4ca4b6e748fe025da2a7efc6bf96ef61,Empoçamento estagnado
9fafd9c9e2239f0befc280a59bc153437a64e0cd,Empoçamento crescente
4ebd32be37d66a05836a2f9814bdcc61edbfd880,Empoçamento estagnado
0f928ba8785d984e7ec3581737adeb11d1eac3a0,Empoçamento estagnado
3eb28fb39738b6845aa9f50ac2d7f1175c528ab0,Saudável
98543893941dc9952a8aa7c00ede9296d7ae3683,Empoçamento estagnado
d8f41c359dabfb3d2c49093fca0131981695682c,Empoçamento crescente
dbd29d60af9649923f4b6308491b02bce2afdba7,Empoçamento estagnado
9a148db462794209422436c440aaca19c8c361d9,Empoçamento estagnado
4362c0a1636d7ffb4457d9012be4af095b5a74ed,Empoçamento estagnado
edb1ad07b72498677003242357e2af07feb4c961,Empoçamento estagnado
a667149181e2e8bc9d711e6e4e0d106568d145f1,Empoçamento estagnado
1c5364f0aa2b3c503d1202ba7805656017193c91,Não sei
a9e048454c66f0e4c453b5f64846545657c00a89,Saudável
52d2c2a8e7bf2c03f62bdd772ae70c398b2502d0,Saudável
a91f04b12a430943a266c3b6fb0f126c922b29d8,Saudável
d162ec845fc6e523f717301c5f13bf861b1ec1f8,Saudável
528b2996c1df83307b03c02f37f045658483fc89,Saudável
